,Ors,Odor,Response
7,ac4,1,0.022667
9,Or2a,1,0.002
10,Or7a,1,0.052
11,Or9a,1,0.011333
12,Or10a,1,-0.0083333
13,Or13a,1,0.048667
14,Or19a,1,0.078333
15,Or22a,1,0.049667
18,Or23a,1,-0.011667
22,Or33b,1,0.024333
24,Or35a,1,0.053667
26,Or42b,1,-0.018667
27,Or43a,1,-0.050333
28,Or43b,1,0.003
32,Or47a,1,0.011333
33,Or47b,1,-0.015667
35,Or49b,1,0.01
37,Or59b,1,-0.012667
39,Or65a,1,-0.008
40,Or67a,1,0.060333
41,Or67b,1,0.033333
42,Or67c,1,0.026333
46,Or82a,1,0.049667
47,Or85a,1,-0.0023333
48,Or85b,1,0.083667
52,Or85f,1,0.004
53,Or88a,1,0.010667
54,Or92a,1,-0.015333
57,Or98a,1,0.21567
58,Gr21a.Gr63a,1,0.067667
60,ab4B,1,0.051333
63,Or69a,1,0.39733
64,ac1,1,0.052667
65,ac2,1,0.0093333
66,ac3_noOr35a,1,0.071333
78,Or83c,1,0.030667